aller
faire
dire
pouvoir
vouloir
savoir
voir
devoir
venir
suivre
parler
prendre
chose
croire
aimer
falloir
passer
penser
attendre
trouver
laisser
arriver
donner
regarder
appeler
homme
partir
jour
femme
temps
vie
mettre
rester
arreter
connaitre
demander
dieu
fois
père
comprendre
sortir
an
fille
monde
besoin
accord
monsieur
enfant
entendre
chercher
heure
aider
mère
essayer
revenir
plaire
maison
gens
nuit
soir
nom
bonjour
jouer
finir
peur
perdre
maman
sentir
rentrer
problème
vivre
rendre
tenir
main
oublier
air
fils
travailler
tete
coup
écouter
raison
manger
amour
entrer
devenir
commencer
moment
voiture
payer
tirer
ouvrir
oeil
changer
question
tomber
excuser
affaire
dormir
frère
travail
idée
famille
truc
merci
occuper
marcher
chance
envoyer
histoire
apprendre
minute
boire
garder
type
porte
montrer
mec
asseoir
porter
année
souvenir
prier
mois
servir
madame
écrire
part
eau
sang
place
espérer
désoler
retrouver
ville
terre
gagner
semaine
acheter
gars
chambre
côté
rappeler
lire
cas
mot
salut
monter
quitter
police
suite
matin
emmener
toucher
continuer
mari
importer
papa
train
manquer
raconter
film
répondre
garçon
corps
sauver
retourner
rencontrer
coeur
voler
fermer
valoir
descendre
docteur
suffire
façon
sembler
compter
chien
genre
marier
arme
cause
endroit
ordre
poser
reste
pied
envie
inquiéter
bouger
apporter
photo
décider
vendre
école
chef
tourner
cacher
pays
expliquer
battre
peine
livre
agir
imaginer
tour
adorer
vérité
recevoir
jeter
pleurer
bébé
partie
jeu
amener
service
plaisir
promettre
mentir
soeur
lit
utiliser
lieu
coucher
préférer
offrir
verre
réveiller
aide
journée
préparer
numéro
permettre
ramener
enlever
lâcher
choisir
musique
conduire
faute
calmer
mariage
bureau
route
chanter
disparaitre
lever
présenter
accepter
confiance
revoir
bonsoir
compte
téléphone
casser
frapper
reve
copain
attention
rue
lettre
ignorer
fete
esprit
couper
taire
seigneur
flic
capitaine
âge
pièce
bras
tromper
ressembler
jurer
prison
courir
état
remettre
carte
paix
refuser
président
cours
terminer
ciel
âme
patron
amuser
visage
intéresser
reconnaitre
rire
médecin
rapport
pardonner
avis
embrasser
retour
danser
exister
lumière
dollar
hôpital
réussir
voix
protéger
honneur
équipe
prévenir
cheval
avion
bout
habiter
faim
déranger
reprendre
oncle
prix
retard
détruire
cadeau
pousser
face
chemin
bateau
million
sac
seconde
découvrir
erreur
soleil
voyage
sauter
rever
détester
paraitre
balle
empecher
maintenir
cheveu
papier
supposer
épouser
table
clé
agent
approcher
sens
craindre
message
crier
salle
inviter
effet
réfléchir
espèce
arranger
naitre
bois
propos
camp
sorte
hôtel
début
souffrir
jambe
remercier
choix
sécurité
avocat
attraper
client
dépecher
peuple
dame
abandonner
vérifier
journal
bruler
loi
fond
gosse
fric
situation
accident
doute
scène
soldat
assurer
preuve
mer
silence
télé
victime
garde
meurtre
groupe
crime
traiter
blesser
colonel
parole
honte
dégager
soirée
armée
filer
risquer
dos
appel
visite
mener
fleur
attaquer
coin
prince
bordel
professeur
fumer
répéter
habitude
signer
ficher
réponse
mériter
rejoindre
discuter
village
avancer
connerie
reposer
échapper
forme
bruit
exemple
charger
chat
obliger
trou
accompagner
fenetre
oser
impression
bouche
ligne
regretter
mur
enfer
prouver
